sbti_id;company_name;organization_type;location;region;sector;near_term_status;near_term_target_classification;near_term_target_year;long_term_status;long_term_target_classification;long_term_target_year; net_zero_status;net_zero_year;reason_for_extension_or_removal;date_updated;;;;
40009754;AcBel Polytech Inc.;Corporate;Taiwan, Province of China;Asia;Technology Hardware and Equipment;Targets set;1.5°C;2030;;;;;;;15-06-2023;;;;
40008140;Chalhoub Group;Corporate;United Arab Emirates;MENA;Retailing;Targets set;1.5°C;2032;;;;Committed;;;08-06-2023;;;;
40007629;Citrosuco Agroindustria S.A.;Corporate;Brazil;Latin America and the Caribbean;Food and Beverage Processing;Targets set;Well-below 2°C;2030;;;;;;;15-06-2023;;;;
40006454;Cloudfm Group Limited;SME;United Kingdom;Europe;Real Estate;Targets set;1.5°C;2030;Targets set;1.5°C;2035;Targets set;2035;;01-06-2023;;;;
40014578;Deutsche Glasfaser Group GmbH;Corporate;Germany;Europe;Telecommunication Services;Targets set;1.5°C;2030;;;;;;;15-06-2023;;;;
40012691;Drax Group plc;Corporate;United Kingdom;Europe;Electric Utilities and Independent Power Producers and Energy Traders (including Fossil, Alternative and Nuclear Energy);Targets set;1.5°C;2030;;;;Committed;;;18-04-2024;;;;
40006049;Fater S.p.A.;Corporate;Italy;Europe;Consumer Durables, Household and Personal Products;Targets set;1.5°C;FY2030;Targets set;1.5°C;FY2040;Targets set;FY2040;;15-06-2023;;;;
40011886;FRIGOGLASS;Corporate;Greece;Europe;Electrical Equipment and Machinery;Targets set;1.5°C;2030;Targets set;1.5°C;2050;Targets set;2050;;15-06-2023;;;;
40005289;Guardian News and Media Limited;Corporate;United Kingdom;Europe;Media;Targets set;1.5°C;FY2030;;;;;;;15-06-2023;;;;
40003304;Hanesbrands Inc.;Corporate;United States of America;Northern America;Textiles, Apparel, Footwear and Luxury Goods;Targets set;1.5°C;2030;;;;;;;22-06-2023;;;;
40001848;HSS HIRE GROUP PLC;Corporate;United Kingdom;Europe;Trading Companies and Distributors, and Commercial Services and Supplies;Targets set;1.5°C;2030;Targets set;1.5°C;2040;Targets set;2040;;20-02-2025;;;;
40006669;Irwin Mitchell Holdings Limited;Corporate;United Kingdom;Europe;Professional Services;Targets set;1.5°C;FY2031;Targets set;1.5°C;FY2040;Targets set;FY2040;;08-06-2023;;;;
40008240;LG Electronics Inc.;Corporate;Korea, Republic of;Asia;Consumer Durables, Household and Personal Products;Targets set;1.5°C;2030;;;;;;;15-06-2023;;;;
40009218;Li & Fung Trading Limited;Corporate;Hong Kong, China;Asia;Trading Companies and Distributors, and Commercial Services and Supplies;Targets set;1.5°C;2030;;;;;;;15-06-2023;;;;
40010599;Premier Foods PLC;Corporate;United Kingdom;Europe;Food and Beverage Processing;Targets set;1.5°C;FY2030;;;;Commitment removed;;Expired commitment;08-06-2023;;;;
40009503;Sekisui House, LTD;Corporate;Japan;Asia;Homebuilding;Targets set;1.5°C;FY2030;Targets set;1.5°C;FY2050;Targets set;FY2050;Expired commitment;06-03-2025;;;;
40004098;SIDEL Group;Corporate;Italy;Europe;Containers and Packaging;Targets set;1.5°C;2030;;;;Committed;;;16-01-2025;;;;
